agricola, agricolae (m) | farmer
caro, carnis (f) | meat, flesh
Carthago, Carthaginis (f) | Carthage
celeritas, celeritatis (f) | speed
centurio, centurionis (m) | centurion
Ceres, -eris (f) | Ceres
cereal, cerealis (n) | cereal
Charybdis, Charybdis (f) | Charybdis
cimex, cimicis (c.) | bug
civis, civis (c.) | citizen
clades, cladis (f) | disaster, defeat
clamor, clamoris (m) | shout
classis, classis (f) | fleet
clunis, clunis (m) | bottom
comes, comitis (c.) | companion
consul, consulis (m) | consul
coniunx, coniugis (c.) | wife, husband
cor, cordis (n) | heart
cornix, cornicis (f) | crow
coturnix, coturnicis (f) | quail
crus, cruris (n) | leg
cucumis, cucumeris (m) | cucumber
culex, culicis (m) | mosquito
Cupido, Cupidis (m) | Cupid
custos, custodis (m) | guard
cutis, cutis (f) | skin
cyclops, cyclopis (m) | cyclops
decurio, decurionis (m) | decurion
dens, dentis (m) | tooth
Druides, -um (m) | Druids
dux, ducis (m) | leader
explorator, exploratoris (m) | scout
falco, (f) | falcon
fel, (f) | gallbladder
feles, (f) | cat
femur, (f) | thigh
finis, (f) | end
flos, (f) | flower
foedus, (f) | treaty
frons, (f) | forehead
funditor, (f) | slinger
funis, (f) | rope
frater, (f) | brother
fullo, (f) | cloth-fuller
fur, (f) | thief
furor, (f) | fury
gallopavo, gallopavonis (m) | turkey
gens, gentis (f) | race
genus, generis (n) | sort, kind
gigas, gigantis (m) | giant
gingiber, gingiberis (n) | ginger
gladiator, gladiatoris (m) | gladiator
gorgo, gorgonis (f) | gorgon
grex, gregis (m) | herd
grus, grusis (c.) | crane
gryps, grypis (m) | griffin
Hannibal, Hannibalis (m) | Hannibal
Hasdrubal, Hasdrubalis (m) | Hasdrubal
Hercules, -is -i (m) | Hercules
honor, honoris (m) | honour
hospes, hospitis (m) | guest, host
hostes, hostium (c.) | enemy
iecur, iecoris (n) | liver
ignis, ignis (m) | fire
imperator, imperatoris (m) | emperor, general
infans, infantis (c.) | infant
Insubres, -ium (m) | The Insubres (Gallic)
Iuno, Iunonis (f) | Juno
Iuppiter, Iovis (m) | Jupiter
iter, itineris (n) | journey
iuvenis, iuvenis (m) | young man
labor, laboris (m) | work
latro, latronis (m) | bandit
legio, legionis (f) | legion
lens, lentis (f) | lentil
lentigo, lentiginis (f) | freckle
leo, leonis (m) | lion
lex, legis (f) | law
libertas, libertatis (f) | freedom
limax, limacis (c.) | slug
litus, litoris (n) | shore
lynx, lyncis (c.) | lynx
Mars, Martis (m) | Mars
mater, (m) | mother
media pars, partis (f) | waist
mel, (m) | honey
melopepo, (m) | watermelon
mercator, (m) | merchant
meretrix, (m) | prostitute
miles, (m) | soldier
Mithridates, Mithridatis (m) | Mithridates
monoceros, (m) | unicorn
mons, (m) | mountain
mos, (m) | custom
mulier, (m) | woman
mulio, (m) | muleteer
mus, (m) | mouse
myax, (m) | clam
Narbo, Narbonis (f) | Narbo
naris, (n) | nostril
Neapolis, Neapolis (f) | Neapolis
eques, equitis, (m) | horseman
homo, hominis, (m) | man
pater, patris, (m) | father
timor, timoris, (m) | fear
fortitudo, (f) | bravery
hiems, hiemis, (f) | winter
laus, laudis, (f) | praise
lux, lucis, (f) | light
magnitudo, (m) | size
nox, (n) | night
soror, sororis, (f) | sister
virtus, virtutis, (f) | courage
vox, vocis, (f) | voice
caedes, caedis, (f) | slaughter, murder
collis, collis, (m) | hill
aetas, aetatis, (f) | age
arbor, arboris, (f) | tree
civitas, civitatis, (f) | state
cohors, cohortis, (f) | cohort
mens, (m) | mind
mors, (m) | death
navis, (n) | ship
pars, partis, (f) | part
turris, turris, (f) | tower
urbs, urbis, (f) | city
corpus, corporis, (n) | body
flumen, (f) | river
nomen, (n) | name
tempus, temporis, (n) | time
vulnus, vulneris, (n) | wound
animal, animalis, (n) | animal
mare, (m) | sea
caput, capitis (n) | head
abactus, abactus (m) | the act of driving away, robbing
abigeatus, abigeatus (m) | cattle stealing, rustling
abitus, abitus (m) | departure; way out, exit
abortus, abortus (m) | premature delivery, miscarriage, abortion
abusus, abusus (m) | consumption, wasting
accentus, accentus (m) | a blast, signal; accent, tone; intensity, violence
accentus acutus, accentus acuti (m) | acute accent
accessus, accessus (m) | approach, arrival
accitus, accitus (m) | summons, call
accubitus, accubitus (m) | couch, seat; reclining
adfectus, adfectus (m) | affection, mood, emotion, feeling
adiutus, adiutus (m) | help, aid, assistance
adlapsus, adlapsus (m) | a gliding approach
admixtus, admixtus (m) | mixture; mingling
adparatus, adparatus (m) | preparation, a getting ready
adpetitus, adpetitus (m) | an attack, assault
adplausus, adplausus (m) | a clapping, flapping (of wings); applause
adpulsus, adpulsus (m) | driving (of livestock)
adsensus, adsensus (m) | agreement, assent, approval; (poetic) echo
advolatus, advolatus (m) | a flying towards
adytus, adytus (m) | shrine, Holy of Holies; (generally) secret place
aemulatus, aemulatus (m) | rivalry, jealousy
aeriportus, aeriportus (m) | airport
affectus, affectus (m) | affection, mood, emotion, feeling
arcus, -us (m) | bow
artus, -us (m) | limbs
aspectus, -us (m) | sight/appearance
auditus, -us (m) | hearing
cantus, -us (m) | song
captus, -us (m) | comprehension/capacity
casus, -us (m) | fall/chance/accident
circuitus, -us (m) | circuit/detour
comitatus, -us (m) | retinue
commeatus, -us (m) | leave/provisions/supplies
conatus, -us (m) | attempt
concursus, -us (m) | running together/charge
consensus, -us (m) | accord/agreement
conspectus, -us (m) | view/sight
consulatus, -us (m) | consulship
conventus, -us (m) | meeting/company
cruciatus, -us (m) | torture
cultus, -us (m) | civilization/culture/style
currus, -us (m) | chariot
cursus, -us (m) | running
dilectus, -us (m) | selection/levy
discessus, -us (m) | departure
effectus, -us (m) | effect/result/performance
egressus, -us (m) | departure
equitatus, -us (m) | cavalry
eventus, -us (m) | outcome/result
exercitus, -us (m) | army
exitus, -us (m) | departure/end/outcome/result
fletus, -us (m) | weeping
fluctus, -us (m) | billow/surge/wave
fremitus, -us (m) | growling/murmering
fructus, -us (m) | produce/fruit/crop/reward
gemitus, -us (m) | groan
gradus, -us (m) | step/rung/position/degree
gressus, -us (m) | step
gustus, -us (m) | tasting
habitus, -us (m) | condition/deportment/attire
impetus, -us (m) | attack/rush/impulse/fury
impulsus, -us (m) | impulse/urge/instigation
incursus, -us (m) | attack/onset
iniussus, -us (m) | without orders
intellectus, -us (m) | intellect
interitus, -us (m) | perishing/death
introitus, -us (m) | entrance
iussus, -us (m) | by order
lacus, -us (m) | lake
lapsus, -us (m) | gliding/falling/error
luctus, -us (m) | mourning/distress
magistratus, -us (m) | magistrate
metus, -us (m) | fear/dread
morsus, -us (m) | bite
motus, -us (m) | movement/emotion/disturbance
natus, -us (m) | by birth
obitus, -us (m) | death
occasus, -us (m) | setting/west/downfall
odorattus, -us (m) | smelling
ornatus, -us (m) | dress
ortus, -us (m) | born/descended
passus, -us (m) | pace/step
peditatus, -us (m) | infantry
portus, -us (m) | harbour/haven
potus, -us (m) | drink
principatus, -us (m) | first place/leadership
prospectus, -us (m) | sight/view
progress, -us (m) | advance
pulsus, -us (m) | beating/beat/stroke
quaestus, -us (m) | aquisition/gain/profit
questus, -us (m) | complaint
receptus, -us (m) | retreat
reditus, -us (m) | return
regress, -us (m) | return
respectus, -us (m) | looking back/refuge/respect
risus, -us (m) | laughter/laugh
ritus, -us (m) | ceremony/rite
saltus, -us (m) | woodland/pass/ravine
senatus, -us (m) | senate
sensus, -us (m) | feeling/perception/sense/emotion
sinus, -us (m) | fold/coil/bay/gulf
situs, -us (m) | position/site/situation
sonitus, -us (m) | noise/sound
specus, -us (m) | cave/cavity
spiritus, -us (m) | breath of life/spirit/pride
status, -us (m) | posture/position/condition
strepitus, -us (m) | din/noise
sumptus, -us (m) | charge/cost/expense
tractus, -us (m) | track/trail/extent/stretch/dragging out
tactus, -us (m) | touching
tractatus, -us (m) | treatise/tractate
transitus, -us (m) | crossing/passage
tumultus, -us (m) | commotion/disorder
usus, -us (m) | use/practice/skill/custom
versus, -us (m) | row/line of writing
vestitus, -us (m) | clothing
victus, -us (m) | livelihood/living/victuals
visus, -us (m) | sight/vision
vultus, -us (m) | expression/countenance/face
anus, -us (f) | old woman
domus, -us (f) | house/home
idus, -uum (fpl) | Ides/middle of the Roman month
manus, -us (f) | hand/force/power
porticus, -us (f) | arcade/gallery
tribus, -us (f) | tribe/mob
cornu, -us (n) | horn
genu, -us (n) | knee
gelu, -us (n) | icy coldness
venu, -us (n) | sale/purchase
actus, actus (m) | act, action, deed; the act of driving cattle
acus, acus (f) | a needle, a pin
aditus, aditus (m) | approach, access; attack; entrance; chance, opportunity, means
adventus, adventus (m) | arrival, coming, approach
aestus, aestus (m) | heat; fire; surge of the sea; passion
almities, -ei (f)| kind behavior
avarities, -ei (f)| greed, stinginess, meanness
balbuties, -ei (f)| stammering
barbaries, -ei (f)| foreign land, uncivilized races, brutality
blandities, -ei (f)| flattery, compliment, charm
caesaries, -ei (f)| hair, long/flowing/luxuriant hair
calvities, -ei (f)| baldness
canities, -ei (f)| grey hair, old age
caries, -ei (f)| rot, corruption, decay
colluvies, -ei (f)| muck, sewage
congeries, -ei (f)| heap, mass, ruins, chaos
crassities, -ei (f)| density, thickness
desidies, -ei (f)| idleness
digeries, -ei (f)| disposition, arrangement
diluvies, -ei (f)| flood, inundation, deluge, destruction (by water)
durities, -ei (f)| hardness, strictness
effigies, -ei (f)| copy, image, likeness, effigy, statue
eluvies, -ei (f)| flowing out, discharge
esuries, -ei (f)| hunger
glacies, -ei (f)| ice
illuvies, -ei (f)| dirt, filth
ingluvies, -ei (f)| gullet, jaws, gluttony
intemperies, -ei (f)| lack of temperateness (of weather, etc); outrageous behavior;
luxuries, -ei (f)| luxury, extravagance
maceries, -ei (f)| wall
macies, -ei (f)| leanness, meagerness, poverty
materies, -ei (f)| wood, lumber, timber material, matter, food/fuel
meridies, -ei (m)| noon, midday
mollities, -ei (f)| softness, tenderness, weakness
mundities, -ei (f)| cleanness, elegance (of appearance)
muries, -ei (f)| brine, salt liquor, pickling
nigrities, -ei (f)| blackness, black color
pauperies, -ei (f)| poverty
permities, -ei (f)| destruction, annihilation
pernicies, -ei (f)| ruin, disaster, calamity, mischief
planities, -ei (f)| plain, plateau, flatness
progenies, -ei (f)| race, family, progeny
proluvies, -ei (f)| overflow, flood, bodily discharge
respublica, -ei (f)| republic
sanies, -ei (f)| ichorous/bloody matter, puss discharged from a wound
segnities, -ei (f)| sluggishness, inertia, weakness
spurcities, -ei (f)| filthiness, dirt
subluvies, -ei (f)| filth, dirt
superficies, -ei (f)| top, surface, upper layer
temperies, -ei (f)| proper mixture, temper
tristities, -ei (f)| sadness, sorrow
vastities, -ei (f)| ruin, destruction
aciēs, -eī (f) | keenness, edge, line of battle
faciēs, -ēī (f) | shape, form, figure, face
effigiēs, -ēī (f) | an image, likeness, effigy
glaciēs, -ēī (f) | ice
spēs, speī (f) | hope
eluviēs, -ēī (f) | flowing, discharge, flood
seriēs, -ēī (f) | row, chain, series; descent
speciēs, -ēī (f) | sight, view; shape, form
res (f) | family property, estate
res (m) | art of war
res (n) | revolution
fides, -eī (f) | faith, loyalty, trust
dies, -ei (m)| day (sometimes femenine in the singular)
facies, -ei (f)| face, shape, beauty, appearance
rabies, -ei (f)| madness
res, -ei (f)| thing, stuff, event/affair/buissness, fact, cause
scabies, -ei (f)| itch, mange
